title,channel_name,published_date,url,referrer
ZKV presents Privacy in Cosmos: DeFi Edition - Introduction,Zero Knowledge,2021-10-01,https://www.youtube.com/watch?v=89y1qoNZUoY,
ZK Podcast: Analyzing Osmosis & Preventing MEV with Sunny and Dev,Zero Knowledge,2021-07-07,https://www.youtube.com/watch?v=ohHRqUf7OKE,
"ZKPodcast: Anoma’s Adrian Brink on Validity Predicates, Ferveo DKG & More",Zero Knowledge,2021-07-02,https://www.youtube.com/watch?v=nE0-6dPJMRE,
ZKPodcast: Exploring Uniswap V3 and a Multi-L2 Future with Noah and Moody,Zero Knowledge,2021-06-16,https://www.youtube.com/watch?v=yUuDJvMBRPE,
ZKVs Cosmos Privacy & ZKP Showcase - Anoma with Christopher Goes,Zero Knowledge,2021-03-29,https://www.youtube.com/watch?v=vToj6GcGLlc,
"zkSessions: DeFi + Privacy Panel with Tarun, Zac and Stani",Zero Knowledge,2021-02-25,https://www.youtube.com/watch?v=gh1QDnmk_Uk,
"zkSessions: DeFi + Privacy - Privacy, DEXs, and DeFi ... Oh My!",Zero Knowledge,2021-02-25,https://www.youtube.com/watch?v=g9torZgeZJw,
zkSessions: DeFi & Privacy - Building privacy-preserving DeFi,Zero Knowledge,2021-02-24,https://www.youtube.com/watch?v=FlmRYdbhcZs,
zkSessions: DeFi & Privacy - Snapps: DeFi's (private) key to mass adoption,Zero Knowledge,2021-02-24,https://www.youtube.com/watch?v=xQEjHWyJQog,
zkSessions: DeFi + Privacy - A word from Aave co-founder Stani Kulechov,Zero Knowledge,2021-02-23,https://www.youtube.com/watch?v=6DXPppyXW8w,
zkSessions: DeFi + Privacy Intro with Anna Rose,Zero Knowledge,2021-02-23,https://www.youtube.com/watch?v=HEoFz7f_9TQ,
ZK Podcast: Flashbots with Phil Daian and Stephane Gosselin,Zero Knowledge,2021-02-18,https://www.youtube.com/watch?v=p5L39ab7n4k,
"ZK Podcast: Kicking off 2021 with Anna, Tarun, James & Josh",Zero Knowledge,2021-02-04,https://www.youtube.com/watch?v=V1ZWmln3S0g,
zkSummit6: Breakout workshop – Interchain Foundation Session,Zero Knowledge,2020-12-02,https://www.youtube.com/watch?v=HHZFji5oysc,
ZK Podcast: Monsters in the Mempool with Dan Robinson from Paradigm,Zero Knowledge,2020-10-28,https://www.youtube.com/watch?v=K2t-DXZZOxo,
"ZK Podcast: A Tale of Sushi(Swap) with Tarun, Hasu and Anna - Part1",Zero Knowledge,2020-09-25,https://www.youtube.com/watch?v=SuzB28CVnV8,
ZKPodcast: Staking derivatives & DeFi with Alex Evans (and Tarun!),Zero Knowledge,2020-07-31,https://www.youtube.com/watch?v=-XJbtLv1d1c,
"zkSummit: Axioms for Zero-Knowledge Proof Pricing- Tarun Chitra (Gauntlet), Georgios Konstantopoulos",Zero Knowledge,2020-05-15,https://www.youtube.com/watch?v=G7UllXTcjm4,
ZKPodcast: Tarun and James talk Flashloans & more,Zero Knowledge,2020-03-27,https://www.youtube.com/watch?v=GkC28P61taA,
ZKPodcast: TEEs with Yan Michalevsky from Anjuna,Zero Knowledge,2019-11-10,https://www.youtube.com/watch?v=WUys371tTxQ,
"ZKPodcast: Post-Devcon5 catch-up with Tarun, James & Georgios",Zero Knowledge,2019-11-09,https://www.youtube.com/watch?v=BxyRx2lgXzU,
ZKPodcast: The road to DEXs with Will Harborne,Zero Knowledge,2019-08-01,https://www.youtube.com/watch?v=uFXSy5yj5oU,
"ZKPodcast: TEEs, SGX and the Graphene project",Zero Knowledge,2019-07-05,https://www.youtube.com/watch?v=KZNn_GtYpHk,
ZKPodcast: Statistical modeling of PoS systems with Tarun Chitra,Zero Knowledge,2019-05-05,https://www.youtube.com/watch?v=TCIcrXT34TQ,
ZKPodcast: Blockchain 101 Cryptoeconomic Primitives and Staking,Zero Knowledge,2019-04-26,https://www.youtube.com/watch?v=qMTYpBR7L1M,
ZKPodcast: Blockchain 101: Transaction lifecycle & the mempool,Zero Knowledge,2019-04-23,https://www.youtube.com/watch?v=ul68Qzj50yM,
ZKPodcast: Hudson Jameson talks EIPs and Ethereum core decision-making,Zero Knowledge,2019-04-22,https://www.youtube.com/watch?v=-IuWjdTzC2E,
ZK0x02 - Private Transactions on Ethereum - Jack Fransham (Parity),Zero Knowledge,2018-09-17,https://www.youtube.com/watch?v=f2OOCdL-s-0,
